basket_id,open_time,symbol,direction,open_level,ema_fast,ema_trend,ema_sep,ema_sep_atr,ema_slope,atr,adx,grid_center,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,adx_x_atr_expand,slope_x_consec,impulse_x_dist,close_time,profit,exit_reason,hit_tp,hit_bsl,mae,mfe,bars_alive,max_depth,label_class,y_steamroller,y_fail
1490,2025.01.02 13:35:37,EURUSD,SELL,1,1.03235,1.03420,-0.00185,-3.0354,-0.00001,0.00061,17.53,1.03227,-2.2432,4,13,4,0.6200,0.6535,50,-4e-05,0.98,-0.089552,1,2.2432,3.4208,0.0,0.4,7.6735,2025.01.02 16:04:04,10.03,BASKET_TP,1,0,-0.17,10.03,29,1,winner,0,0
1491,2025.01.02 20:22:05,EURUSD,SELL,1,1.02556,1.02804,-0.00248,-7.1242,0.00002,0.00035,20.92,1.02552,-6.2281,4,20,4,0.6400,0.7121,50,3e-05,3.39,-0.42623,2,6.2281,9.637,0.0,0.6,60.0204,2025.01.06 02:09:36,-25.06,BASKET_SL,0,1,-25.06,1.99,357,5,steamroller_bsl,1,1
1492,2025.01.06 05:17:30,EURUSD,BUY,1,1.03149,1.03093,0.00056,4.2155,-0.00001,0.00013,17.64,1.03150,2.8601,4,5,1,0.6200,0.6536,50,-3e-05,-3.28,-0.628571,1,2.8601,1.515,0.0,0.3,4.3331,2025.01.06 08:02:30,10.08,BASKET_TP,1,0,-1.72,10.08,33,5,winner,0,0
1493,2025.01.06 10:25:42,EURUSD,BUY,1,1.03477,1.03284,0.00193,4.1742,-0.00005,0.00046,26.79,1.03477,3.0454,4,10,1,0.6400,0.7122,50,-4e-05,9.15,2.538462,2,3.0454,45.846,23.226923,0.8,139.6193,2025.01.06 11:12:25,10.11,BASKET_TP,1,0,-2.86,10.11,9,4,winner,0,0
1494,2025.01.06 13:45:34,EURUSD,BUY,1,1.04131,1.03697,0.00434,5.3722,-0.00003,0.00081,26.10,1.04146,4.5414,4,13,1,0.6400,0.7123,50,2e-05,-0.69,0.76087,3,4.5414,10.444,0.0,0.6,47.4306,2025.01.07 07:19:26,10.06,BASKET_TP,1,0,-18.84,10.06,175,5,winner,0,0
1495,2025.01.07 08:20:06,EURUSD,BUY,1,1.04094,1.03959,0.00135,2.3153,-0.00004,0.00058,29.84,1.04102,1.5151,4,8,2,0.6400,0.7124,50,-1e-05,3.74,-0.283951,4,1.5151,9.9588,0.0,0.4,15.0885,2025.01.08 07:41:37,-25.11,BASKET_SL,0,1,-25.11,3.05,270,5,steamroller_bsl,1,1
1496,2025.01.08 13:23:39,EURUSD,SELL,1,1.02907,1.03158,-0.00250,-3.6511,-0.00001,0.00069,18.41,1.02922,-2.5044,4,13,3,0.6200,0.6539,50,3e-05,-11.43,0.189655,1,2.5044,3.3227,0.0,0.3,8.3212,2025.01.10 13:30:28,10.47,BASKET_TP,1,0,-5.88,10.47,578,3,winner,0,0
1497,2025.01.10 15:20:24,EURUSD,SELL,1,1.02612,1.02838,-0.00226,-2.0755,0.00005,0.00109,18.86,1.02595,-1.2161,4,15,5,0.6200,0.6548,50,6e-05,0.45,0.57971,2,1.2161,8.6011,0.26087,1.2,10.4598,2025.01.15 13:32:37,-25.11,BASKET_SL,0,1,-25.11,9.30,842,4,steamroller_bsl,1,1
1498,2025.01.15 15:03:34,EURUSD,BUY,1,1.03284,1.03125,0.00159,1.9901,-0.00002,0.00080,16.13,1.03275,0.3352,4,15,3,0.6000,0.6021,50,-7e-05,-2.73,-0.266055,1,0.3352,1.2838,0.0,0.7,0.4303,2025.01.20 11:14:38,10.04,BASKET_TP,1,0,-13.76,10.04,818,4,winner,0,0
1499,2025.01.20 12:28:02,EURUSD,BUY,1,1.03199,1.03105,0.00094,2.9572,-0.00002,0.00032,17.65,1.03206,1.9081,4,12,1,0.6000,0.6022,50,0.0,1.52,-0.6,2,1.9081,4.517,0.0,0.0,8.6189,2025.01.20 13:30:40,10.05,BASKET_TP,1,0,-1.56,10.05,13,3,winner,0,0
1500,2025.01.20 15:41:37,EURUSD,BUY,1,1.04023,1.03507,0.00516,3.8306,-0.00004,0.00135,18.52,1.04045,3.0519,4,15,1,0.6000,0.6021,50,-2e-05,0.87,3.21875,3,3.0519,36.3905,2.800313,0.6,111.0601,2025.01.20 17:39:34,10.13,BASKET_TP,1,0,-8.23,10.13,23,4,winner,0,0
1501,2025.01.20 22:01:59,EURUSD,BUY,1,1.04135,1.03932,0.00204,7.4861,-0.00000,0.00027,21.15,1.04139,3.5423,15,22,1,0.6000,0.6013,50,4e-05,2.63,-0.8,4,3.5423,8.5456,0.0,1.6,30.271,2025.01.21 09:40:05,-25.10,BASKET_SL,0,1,-25.10,3.00,140,5,steamroller_bsl,1,1
1502,2025.01.21 11:51:03,EURUSD,SELL,1,1.03513,1.03660,-0.00147,-3.7602,0.00003,0.00039,17.71,1.03511,-2.7722,4,11,2,0.6000,0.6013,50,3e-05,-3.44,0.444444,1,2.7722,5.9375,0.0,0.3,16.4599,2025.01.21 16:28:35,-25.00,BASKET_SL,0,1,-25.00,0.92,55,5,steamroller_bsl,1,1
1503,2025.01.21 19:24:04,EURUSD,BUY,1,1.04263,1.04021,0.00242,7.5352,-0.00001,0.00032,23.66,1.04259,6.2154,4,19,2,0.6000,0.6013,50,-4e-05,5.95,-0.179487,1,6.2154,14.3538,0.0,0.4,89.2149,2025.01.22 09:44:25,10.13,BASKET_TP,1,0,-11.37,10.13,172,5,winner,0,0
1504,2025.01.22 13:27:04,EURUSD,BUY,1,1.04401,1.04322,0.00079,1.9790,-0.00000,0.00040,24.21,1.04400,0.9628,4,13,3,0.6200,0.6543,50,1e-05,0.55,0.25,2,0.9628,4.9407,0.1375,0.2,4.7569,2025.01.23 16:12:02,-25.05,BASKET_SL,0,1,-25.05,1.69,321,5,steamroller_bsl,1,1
1505,2025.01.23 16:25:00,EURUSD,SELL,1,1.04016,1.04045,-0.00030,-0.3643,0.00011,0.00082,28.84,1.04016,0.8149,4,16,4,0.6200,0.6544,50,0.00011,4.63,1.05,1,0.8149,21.5637,4.8615,1.1,17.5723,2025.01.24 15:03:34,-25.01,BASKET_SL,0,1,-25.01,1.42,271,5,steamroller_bsl,1,1
1506,2025.01.24 18:02:38,EURUSD,BUY,1,1.05126,1.04941,0.00185,5.4543,-0.00002,0.00034,17.39,1.05129,4.1486,4,18,5,0.6000,0.6018,50,-0.00013,-11.45,-0.585366,1,4.1486,2.8372,0.0,1.3,11.7702,2025.01.27 12:54:03,10.00,BASKET_TP,1,0,-23.00,10.00,226,5,winner,0,1
1507,2025.01.27 13:24:35,EURUSD,BUY,1,1.05168,1.04945,0.00222,3.5610,0.00001,0.00062,22.49,1.05172,2.6381,5,13,1,0.6000,0.6017,50,3e-05,5.1,0.823529,2,2.6381,20.3948,4.2,0.6,53.8036,2025.01.27 23:27:41,-25.04,BASKET_SL,0,1,-25.04,1.72,121,4,steamroller_bsl,1,1
1508,2025.01.28 01:31:52,EURUSD,SELL,1,1.04518,1.04724,-0.00207,-4.7143,0.00004,0.00044,23.58,1.04518,-3.7018,4,1,2,0.6000,0.6017,50,3e-05,1.09,-0.290323,1,3.7018,3.9054,0.0,0.3,14.4572,2025.02.02 22:01:00,18.53,BASKET_TP,1,0,-1.17,18.53,1110,1,winner,0,0
1509,2025.02.03 05:01:35,EURUSD,SELL,1,1.02250,1.02580,-0.00329,-6.8694,0.00002,0.00048,26.22,1.02241,-5.9792,4,5,1,0.6000,0.6187,50,-2e-05,2.64,0.090909,2,5.9792,8.8839,0.24,0.4,53.1186,2025.02.03 08:00:37,10.09,BASKET_TP,1,0,-6.51,10.09,36,5,winner,0,0
1510,2025.02.03 08:55:22,EURUSD,SELL,1,1.02378,1.02459,-0.00081,-0.9785,0.00005,0.00083,29.70,1.02359,-0.2102,4,8,1,0.6000,0.6188,50,3e-05,3.48,0.729167,3,0.2102,16.1042,2.5375,0.9,3.3851,2025.02.04 09:00:20,-25.05,BASKET_SL,0,1,-25.05,6.75,289,5,steamroller_bsl,1,1
1511,2025.02.04 10:31:26,EURUSD,BUY,1,1.03374,1.03203,0.00170,4.0833,-0.00002,0.00042,26.31,1.03377,3.1309,4,10,2,0.6000,0.6191,50,-7e-05,-3.39,-0.493976,1,3.1309,1.9827,0.0,0.7,6.2077,2025.02.04 14:12:40,10.11,BASKET_TP,1,0,-3.09,10.11,44,4,winner,0,0
1512,2025.02.04 21:22:41,EURUSD,BUY,1,1.03823,1.03696,0.00126,6.3629,-0.00002,0.00020,19.70,1.03822,4.7102,4,21,2,0.6200,0.6728,50,0.0,-6.61,-0.52381,2,4.7102,2.1776,0.0,0.0,10.2567,2025.02.05 07:26:20,10.11,BASKET_TP,1,0,-2.30,10.11,121,4,winner,0,0
1513,2025.02.05 08:37:38,EURUSD,BUY,1,1.03968,1.03856,0.00112,2.1386,-0.00002,0.00052,28.30,1.03968,0.9474,4,8,3,0.6200,0.6730,50,0.0,8.6,1.6,3,0.9474,34.9368,13.76,0.0,33.0992,2025.02.06 18:45:43,10.02,BASKET_TP,1,0,-4.83,10.02,410,5,winner,0,0
1514,2025.02.06 21:55:00,EURUSD,BUY,1,1.03857,1.03800,0.00057,3.4507,-0.00002,0.00017,25.54,1.03861,2.1157,5,21,4,0.6200,0.6730,50,0.0,-2.76,-0.673077,4,2.1157,2.5289,0.0,0.0,5.3504,2025.02.07 13:30:05,10.27,BASKET_TP,1,0,-6.23,10.27,187,5,winner,0,0
1515,2025.02.07 14:29:34,EURUSD,SELL,1,1.03709,1.03786,-0.00077,-0.6136,0.00003,0.00125,15.44,1.03721,0.2749,4,14,5,0.6200,0.6735,50,5e-05,-10.1,6.352941,1,0.2749,64.5981,0.0,0.5,17.758,2025.02.13 13:30:38,10.08,BASKET_TP,1,0,-9.24,10.08,1141,4,winner,0,0
1516,2025.02.13 13:37:54,EURUSD,SELL,1,1.03954,1.04098,-0.00144,-2.4576,0.00001,0.00059,24.53,1.03954,-1.4325,4,13,4,0.6200,0.6736,50,-2e-05,9.09,-0.528,2,1.4325,19.7381,0.0,0.4,28.2749,2025.02.13 18:41:40,10.10,BASKET_TP,1,0,-16.15,10.10,61,5,winner,0,0
1517,2025.02.13 18:45:00,EURUSD,BUY,1,1.04233,1.04187,0.00046,0.5454,-0.00024,0.00084,26.18,1.04233,-1.8780,4,18,4,0.6200,0.6738,50,-0.00025,1.65,0.423729,1,1.878,11.0068,0.699153,2.5,20.6707,2025.02.13 19:16:50,10.02,BASKET_TP,1,0,-3.51,10.02,6,3,winner,0,0
1518,2025.02.13 23:34:02,EURUSD,BUY,1,1.04638,1.04451,0.00187,9.0891,-0.00000,0.00021,19.71,1.04639,7.9354,5,23,4,0.6200,0.6738,50,0.00024,-6.47,-0.75,2,7.9354,5.3838,0.0,4.8,42.723,2025.02.14 08:20:37,10.03,BASKET_TP,1,0,-5.42,10.03,106,5,winner,0,0
1519,2025.02.14 10:29:59,EURUSD,BUY,1,1.04790,1.04674,0.00116,3.3368,0.00001,0.00035,22.35,1.04790,2.1311,4,10,5,0.6400,0.7333,50,1e-05,2.64,0.666667,3,2.1311,14.0794,1.76,0.3,30.0047,2025.02.14 13:30:36,10.04,BASKET_TP,1,0,-4.92,10.04,37,4,winner,0,0
1520,2025.02.14 16:48:59,EURUSD,BUY,1,1.05026,1.04868,0.00158,4.2815,-0.00003,0.00037,20.93,1.05029,2.9063,4,16,5,0.6400,0.7333,50,-4e-05,-1.42,0.057143,4,2.9063,3.698,0.0,1.6,10.7475,2025.02.18 18:09:23,-25.10,BASKET_SL,0,1,-25.10,2.16,592,5,steamroller_bsl,1,1
1521,2025.02.18 19:24:15,EURUSD,SELL,1,1.04429,1.04511,-0.00082,-2.9753,0.00001,0.00027,25.27,1.04431,-1.7524,4,19,2,0.6400,0.7332,50,4e-05,4.34,-0.27027,1,1.7524,10.0181,0.0,0.4,17.5557,2025.02.21 16:23:26,10.04,BASKET_TP,1,0,-17.11,10.04,828,5,winner,0,0
1522,2025.02.21 17:42:35,EURUSD,SELL,1,1.04564,1.04667,-0.00103,-3.0277,-0.00000,0.00034,21.68,1.04559,-2.0499,2,17,5,0.6600,0.7998,50,-1e-05,-3.59,0.259259,2,2.0499,4.2051,0.0,0.2,8.62,2025.02.24 14:48:35,10.02,BASKET_TP,1,0,-19.53,10.02,253,5,winner,0,0
1523,2025.02.24 15:09:20,EURUSD,SELL,1,1.04636,1.04749,-0.00113,-2.7063,-0.00000,0.00042,24.07,1.04636,-1.7251,1,15,1,0.6600,0.7991,50,0.0,2.39,0.235294,3,1.7251,9.0642,0.562353,0.0,15.6367,2025.02.27 04:38:34,10.00,BASKET_TP,1,0,-24.10,10.00,738,5,winner,0,1
1524,2025.02.27 06:02:39,EURUSD,SELL,1,1.04645,1.04742,-0.00097,-4.2788,0.00001,0.00023,21.12,1.04642,-3.3955,2,6,4,0.6600,0.7991,50,1e-05,-2.95,-0.452381,4,3.3955,2.9489,0.0,0.4,10.0129,2025.02.27 13:46:36,10.01,BASKET_TP,1,0,-9.39,10.01,93,5,winner,0,0
1525,2025.02.27 18:20:39,EURUSD,SELL,1,1.04105,1.04347,-0.00242,-6.6270,0.00003,0.00036,23.79,1.04098,-5.7290,2,18,4,0.6800,0.8739,50,2e-05,2.67,0.565217,5,5.729,15.1244,1.50913,1.0,86.6478,2025.02.28 18:22:03,10.01,BASKET_TP,1,0,-0.89,10.01,288,2,winner,0,0
1526,2025.02.28 20:55:28,EURUSD,SELL,1,1.03700,1.03869,-0.00170,-5.4384,0.00002,0.00031,28.07,1.03694,-4.4995,2,20,5,0.6800,0.8737,50,-1e-05,4.28,-0.138889,6,4.4995,12.7849,0.0,0.6,57.5255,2025.03.03 10:16:30,-25.16,BASKET_SL,0,1,-25.16,1.54,160,5,steamroller_bsl,1,1
1527,2025.03.03 17:33:21,EURUSD,BUY,1,1.04928,1.04697,0.00232,6.3761,-0.00003,0.00036,22.81,1.04933,5.1807,2,17,1,0.6600,0.7987,50,-5e-05,-5.26,0.16129,1,5.1807,3.9081,0.0,0.5,20.2466,2025.03.04 07:50:29,10.02,BASKET_TP,1,0,-6.48,10.02,172,5,winner,0,0
1528,2025.03.04 10:00:40,EURUSD,BUY,1,1.05135,1.04958,0.00177,3.1506,-0.00002,0.00056,20.98,1.05138,2.2965,1,10,2,0.6600,0.7987,50,1e-05,-1.83,0.555556,2,2.2965,7.2297,0.0,0.2,16.603,2025.03.04 12:54:39,10.01,BASKET_TP,1,0,-0.79,10.01,34,2,winner,0,0
1529,2025.03.04 14:15:24,EURUSD,BUY,1,1.05408,1.05211,0.00197,3.0522,-0.00005,0.00065,23.64,1.05408,2.0953,1,14,2,0.6800,0.8740,50,-3e-05,2.66,0.160714,3,2.0953,9.251,0.4275,0.9,19.3836,2025.03.04 17:56:33,10.03,BASKET_TP,1,0,-13.12,10.03,44,5,winner,0,0
1530,2025.03.05 00:00:38,EURUSD,BUY,1,1.06237,1.05935,0.00302,6.6993,-0.00000,0.00045,19.57,1.06230,5.8288,2,0,3,0.6800,0.8740,50,5e-05,-4.07,-0.307692,4,5.8288,3.9572,0.0,2.0,23.0657,2025.03.05 06:02:35,10.04,BASKET_TP,1,0,-5.96,10.04,72,5,winner,0,0
1531,2025.03.05 10:26:21,EURUSD,BUY,1,1.07005,1.06577,0.00428,6.0309,-0.00005,0.00071,29.90,1.07003,4.8580,1,10,3,0.7000,0.9591,50,-5e-05,10.33,0.577778,5,4.858,30.6523,5.968444,2.5,148.9088,2025.03.05 14:05:40,10.02,BASKET_TP,1,0,-2.38,10.02,44,2,winner,0,0
1532,2025.03.05 18:35:28,EURUSD,BUY,1,1.07764,1.07406,0.00358,5.6997,-0.00005,0.00063,22.45,1.07764,4.6606,2,18,3,0.7000,0.9590,50,0.0,-7.45,-0.112676,6,4.6606,4.1651,0.0,0.0,19.4121,2025.03.07 09:14:40,10.00,BASKET_TP,1,0,-0.63,10.00,463,1,winner,0,0
1533,2025.03.07 11:04:34,EURUSD,BUY,1,1.08605,1.08351,0.00254,5.4026,-0.00000,0.00047,17.74,1.08607,4.4105,1,11,5,0.7000,0.9590,50,5e-05,-4.71,-0.253968,7,4.4105,5.1026,0.0,3.5,22.5051,2025.03.07 13:30:39,10.05,BASKET_TP,1,0,-3.03,10.05,30,4,winner,0,0
1534,2025.03.07 14:58:38,EURUSD,BUY,1,1.08618,1.08485,0.00133,1.1664,-0.00002,0.00114,25.96,1.08630,0.2091,1,14,5,0.7000,0.9591,50,-2e-05,8.22,1.425532,8,0.2091,34.9476,11.717872,1.6,7.3075,2025.03.10 11:49:19,10.06,BASKET_TP,1,0,-8.18,10.06,250,4,winner,0,0
1535,2025.03.10 12:49:38,EURUSD,BUY,1,1.08521,1.08443,0.00078,1.1010,0.00002,0.00070,25.76,1.08524,0.1997,1,12,1,0.7000,0.9592,50,4e-05,-0.2,-0.385965,9,0.1997,4.9499,0.0,3.6,0.9885,2025.03.11 07:43:28,10.00,BASKET_TP,1,0,-5.02,10.00,227,2,winner,0,0
1536,2025.03.11 10:07:36,EURUSD,BUY,1,1.09037,1.08757,0.00280,3.5414,-0.00006,0.00079,24.85,1.09044,2.6232,1,10,2,0.7200,1.0561,50,-8e-05,-0.91,0.128571,10,2.6232,7.7415,0.0,8.0,20.3075,2025.03.11 18:12:30,10.00,BASKET_TP,1,0,-2.28,10.00,97,2,winner,0,0
1537,2025.03.11 18:51:40,EURUSD,BUY,1,1.09349,1.09176,0.00173,3.2545,-0.00000,0.00053,25.66,1.09356,2.4099,2,18,2,0.7400,1.1682,50,6e-05,0.81,-0.329114,11,2.4099,8.3225,0.0,6.6,20.0563,2025.03.13 06:43:37,-25.04,BASKET_SL,0,1,-25.04,5.51,430,5,steamroller_bsl,1,1
1538,2025.03.13 07:16:37,EURUSD,SELL,1,1.08796,1.08859,-0.00063,-1.4389,0.00002,0.00044,16.51,1.08797,-0.5568,2,7,4,0.7400,1.1683,50,2e-05,-9.15,-0.169811,1,0.5568,0.8392,0.0,0.2,0.4673,2025.03.19 07:36:54,10.07,BASKET_TP,1,0,-22.48,10.07,1144,5,winner,0,1
1539,2025.03.19 09:52:40,EURUSD,SELL,1,1.09034,1.09179,-0.00145,-2.6905,0.00001,0.00054,16.02,1.09035,-1.6503,1,9,3,0.7400,1.1685,50,-1e-05,-0.49,0.227273,2,1.6503,3.7853,0.0,0.2,6.2469,2025.03.19 17:36:43,10.01,BASKET_TP,1,0,-1.23,10.01,93,2,winner,0,0
1540,2025.03.19 18:15:00,EURUSD,SELL,1,1.08785,1.08909,-0.00124,-1.7953,0.00011,0.00069,29.95,1.08785,-0.4739,2,18,3,0.7600,1.2994,50,0.0001,13.93,0.277778,3,0.4739,33.2563,3.869444,3.0,15.7601,2025.03.20 07:34:52,10.01,BASKET_TP,1,0,-8.94,10.01,159,5,winner,0,0
1541,2025.03.20 12:02:00,EURUSD,SELL,1,1.08467,1.08683,-0.00216,-4.1240,0.00003,0.00052,19.81,1.08467,-2.8878,1,12,4,0.7600,1.2993,50,-8e-05,-10.14,-0.246377,4,2.8878,3.5219,0.0,3.2,10.1707,2025.03.26 17:34:36,10.00,BASKET_TP,1,0,-0.86,10.00,1206,1,winner,0,0
1542,2025.03.26 23:22:14,EURUSD,SELL,1,1.07386,1.07545,-0.00159,-6.0377,-0.00001,0.00026,22.28,1.07387,-4.7485,11,23,3,0.7800,1.4536,50,-4e-05,2.47,-0.5,5,4.7485,9.0271,0.0,2.0,42.8653,2025.03.27 11:09:29,-25.00,BASKET_SL,0,1,-25.00,0.50,141,5,steamroller_bsl,1,1
